listing_id,date
10822225,2016-06-11
10822225,2016-06-20
10822225,2016-06-24
10822225,2016-06-28
10822225,2016-07-08
10822225,2016-07-26
10822225,2016-08-19
10822225,2016-08-22
10822225,2016-08-26
10822225,2016-09-11
10822225,2016-09-16
10822225,2016-09-18
10822225,2016-09-24
10822225,2016-09-27
10822225,2016-10-09
10822225,2016-10-11
14374135,2016-08-27
14374135,2016-09-18
16275838,2016-12-18
16275838,2017-02-05
16275838,2017-02-11
16275838,2017-02-25
16275838,2017-02-26
16275838,2017-03-04
16275838,2017-03-13
16275838,2017-03-16
2889367,2016-05-06
2889367,2016-07-24
2889367,2016-07-28
2889367,2016-07-31
2889367,2016-07-31
2889367,2016-08-04
2889367,2016-08-16
2889367,2016-08-18
2889367,2016-08-19
2889367,2016-08-24
2889367,2016-10-29
2889367,2017-01-01
8268149,2015-09-21
8268149,2015-10-18
8268149,2015-11-06
8268149,2015-11-16
8268149,2015-12-19
8268149,2015-12-25
8268149,2016-01-24
8268149,2016-02-02
8268149,2016-02-14
8268149,2016-02-26
8268149,2016-03-06
8268149,2016-03-09
8268149,2016-03-11
8268149,2016-04-04
8268149,2016-04-20
8268149,2016-04-23
8268149,2016-05-01
8268149,2016-05-07
8268149,2016-05-08
8268149,2016-05-08
8268149,2016-05-17
8268149,2016-05-17
8268149,2016-05-26
8268149,2016-06-10
8268149,2016-06-12
8268149,2016-06-21
8268149,2016-07-02
8268149,2016-07-04
8268149,2016-07-13
8268149,2016-08-06
8268149,2016-08-15
8268149,2016-09-06
8268149,2016-09-18
8268149,2016-10-13
8268149,2016-10-16
8268149,2017-01-24
4901220,2016-03-27
4901220,2016-04-12
4901220,2016-09-30
4901220,2016-12-17
9312300,2015-11-13
9312300,2015-11-16
9312300,2015-11-23
9312300,2015-11-27
9312300,2015-12-06
9312300,2015-12-18
9312300,2015-12-20
9312300,2015-12-23
9312300,2016-01-07
9312300,2016-01-09
9312300,2016-01-14
9312300,2016-01-15
9312300,2016-01-23
9312300,2016-01-24
9312300,2016-01-31
9312300,2016-02-13
9312300,2016-02-14
9312300,2016-02-17
9312300,2016-02-22
9312300,2016-03-06
9312300,2016-03-08
9312300,2016-03-20
9312300,2016-04-07
9312300,2016-04-09
9312300,2016-04-17
9312300,2016-04-21
9312300,2016-05-02
9312300,2016-05-06
9312300,2016-05-07
9312300,2016-05-09
9312300,2016-05-14
9312300,2016-05-23
9312300,2016-05-23
9312300,2016-05-25
9312300,2016-05-28
9312300,2016-06-06
9312300,2016-06-21
9312300,2016-06-26
9312300,2016-07-04
9312300,2016-08-05
9312300,2016-08-06
9312300,2016-08-07
9312300,2016-08-08
9312300,2016-08-11
9312300,2016-08-17
9312300,2016-08-20
9312300,2016-08-21
9312300,2016-08-24
9312300,2016-08-26
9312300,2016-08-27
9312300,2016-08-29
9312300,2016-08-30
9312300,2016-09-01
9312300,2016-09-02
9312300,2016-09-04
9312300,2016-09-05
9312300,2016-09-06
9312300,2016-09-10
9312300,2016-09-18
9312300,2016-09-23
9312300,2016-09-24
9312300,2016-10-01
9312300,2016-10-03
9312300,2016-10-04
9312300,2016-10-07
9312300,2016-10-09
9312300,2016-10-14
9312300,2016-10-20
9312300,2016-10-22
9312300,2016-10-23
9312300,2016-10-27
9312300,2016-11-13
9312300,2016-12-10
9312300,2016-12-28
9312300,2016-12-29
9312300,2016-12-30
9312300,2017-01-02
9312300,2017-01-18
9312300,2017-01-21
9312300,2017-01-24
9312300,2017-01-30
9312300,2017-02-18
9312300,2017-02-19
9312300,2017-02-20
9312300,2017-02-23
